userName,score,at,content
rahmad husein,2,2024-09-19 09:34:23,"Bukadompet saya dibekukan, sudah berkali kali saya komplain tappi selalu banyak persyaratan padahal jelas jelas saya memasukkan uang dan pas mau pindahlan kedana akun anda terindikasi melakukan pelanggaran, tolong dong buat pihak buka lapak untuk meng aktifkan kembali akun bukadompet saya"
jamal lail,5,2024-09-19 08:43:53,Top dah
Putri Zahra,1,2024-09-19 07:32:16,Kalau bagus knp ambil duit orang dari dana?? Lucu apk ini🤣🤣🤣
Setiawan Rezz,5,2024-09-19 06:02:48,Ok
Zery 08,1,2024-09-19 01:56:53,Transaksi gagal karena pembayaran tidak diverifikasi Minta pengembalian dana aja ribet ditunggu 1x24jam Sudah 1 hari lewat malah diminta 3x24 jam Aneh Jgn pake aplikasi ini ribet
Nugy Rizwand,5,2024-09-19 00:24:49,"Sangat membantu, CS nya pun sangat ramah..."
SURYA SARI ENTERPRISE (SURYA SARI ENTERPRISE),5,2024-09-18 15:07:00,"Cuk!!! Belanja gak sampai 200rb, Limit Bukalapak PayLeter TIDAK BISA Digunakan!!!! Aplikasi Sampah!!!!"
Indri Maulidyah,1,2024-09-18 12:20:24,"Ini aplikasi yang mengambil uang saya di dana, tolong kembalikan uang saya 850k"
ipan koswara,5,2024-09-18 12:09:28,"Terus memperbaiki & terus memberikan pelayanan yg terbaik pada costumers nya,supaya nyaman,aman bagi pelanggan nya & terimakasih team buka lapak🙏,haya satu kekurangan nya ga ada cs nya pake no wa,lebih praktis🙏"
JOYO MULYO,1,2024-09-18 07:34:59,"Pernah belanja di bukalapak 2018, pembelian sepatu sampai sekarang barang belum datang. Dan mau saya login lagi aplikasi buka lapak susahnya minta ampun, pasword sudah di reset tapi tetepsaja tidak bisa login."
Justin Tembelex,1,2024-09-18 03:03:50,Bukalapak tidak bisa login help me...
Irvan Teguh Darmawan,1,2024-09-17 23:16:11,Tidak bisa verifikasi data nih mau upload foto untuk ganti nomor selalu gagal aneh sekali.
Ravelia Adel,5,2024-09-17 18:21:53,Oke mantap
arie dumang,5,2024-09-17 17:14:55,Saya sedikit kecewa sama Bukalapak pay later dari kredivo sudah ga bisa di gunakan percuma ada bacaan paylater 500rbu tapi ga bisa di gunakan sama sekali sudah 3 bulan ga bisa .tapi aku kasih bintang lima deh ga apa apa.tolong paylater belanja nyaa ada cicilan 12 bulan.kaya aplikasi sebelahh
Sugito,5,2024-09-17 16:35:42,Mantab Betul
bagus Bowo,1,2024-09-17 16:10:39,Sangat di sayangkan pembelian yang gagal dan Kapan saldo dana yang ke refud/gagal pas pembilan bisa di pindah ke saldo dana ..padahal dulu bisa saldo mitra di pindah ke saldo dana .tapi skrng susah mohon. Di perbaiki.i.. Terimakasih
